,movie_title,release_date,genre,age_rating,total_gross,inflation_adjusted_gross
141,The Cemetery Club,1993-02-03,Comedy,+13 & Parent Guidance,5583621,11369541
142,Swing Kids,1993-03-05,Musical,+13 & Parent Guidance,5632086,11468231
143,A Far Off Place,1993-03-12,Adventure,Parent Guidance,12890752,26248558
144,Born Yesterday,1993-03-26,Romantic Comedy,Parent Guidance,17760754,36165012
145,The Adventures of Huck Finn,1993-04-02,Adventure,Parent Guidance,24103594,49080505
147,Indian Summer,1993-04-23,Comedy,-17 & Parent Guidance,14717851,29968953
148,Super Mario Bros.,1993-05-28,Action,Parent Guidance,20844907,42445058
149,Guilty as Sin,1993-06-04,Thriller/Suspense,-17 & Parent Guidance,22622537,46064723
150,Life With Mikey,1993-06-04,Comedy,Parent Guidance,12349549,25146538
151,What's Love Got to Do With It,1993-06-09,Drama,-17 & Parent Guidance,39100956,79618610
152,Son in Law,1993-07-02,Comedy,+13 & Parent Guidance,25989889,52921433
153,Hocus Pocus,1993-07-16,Comedy,Parent Guidance,39360491,80147079
154,Another Stakeout,1993-07-23,Comedy,+13 & Parent Guidance,20107504,40943541
157,The Joy Luck Club,1993-09-08,Drama,-17 & Parent Guidance,32790064,66768171
158,Money for Nothing,1993-09-10,Comedy,-17 & Parent Guidance,1044824,2127496
159,The Program,1993-09-24,Action,-17 & Parent Guidance,23042200,46919256
160,Cool Runnings,1993-10-01,Comedy,Parent Guidance,68856263,140392731
161,The Nightmare Before Christmas,1993-10-13,Musical,Parent Guidance,50408318,100026637
162,The Three Musketeers,1993-11-12,Adventure,Parent Guidance,53661805,109310377
163,Sister Act 2 Back in the Habit,1993-12-10,Comedy,Parent Guidance,57319029,116965668
164,Tombstone,1993-12-25,Western,-17 & Parent Guidance,56505065,115781734
165,The Air Up There,1994-01-07,Comedy,Parent Guidance,20782439,42940186
166,Cabin Boy,1994-01-07,Comedy,+13 & Parent Guidance,3469493,7168577
